tree_depth,nu,cascade_depth,feature_pool_size,num_test_splits,oversampling_amount,oversampling_translation_jitter,training_err,val_err,testing_err,testing_err_aa,training_nrmse,val_nrmse,testing_nrmse,testing_nrmse_aa,inference_speed,inference_speed_aa,model_size,training_time
12,0.25,25,1000,300,20,0.25,0,15.0836190246,16.2673855336,15.1520875611,0.0962523637,0.1614139013,0.1763991783,0.1710331841,0.0075532148,0.0083128476,23503664549,36527.5720922947
8,0.01,10,250,300,1,0,0.000020819,6.5179304144,7.2301901587,9.3617258546,0.0265998235,0.0669761593,0.0779089729,0.1047293268,0.0018413329,0.0018340057,775258443,960.3134760857
12,0.1,15,250,20,1,0.1,0,9.2889921078,9.7104030468,10.6368700163,0.0413754693,0.0941185319,0.104478906,0.1181289979,0.0045540783,0.0045625155,14663559320,11753.4917645454
4,0.01,15,500,300,20,0.25,3.3594800889,3.7378057158,4.2708140743,6.0188919602,0.0386701502,0.0396195064,0.0463668844,0.0679092338,0.0014479598,0.0015768891,79461098,1262.1344692707
4,0.1,25,500,300,1,0,0,5.5269111959,6.1875432216,7.9566636631,0.0228754588,0.0569543421,0.0676169991,0.0902061242,0.002949332,0.0029832468,124055398,217.5373980999
8,0.01,10,100,300,40,0.25,1.6990273399,3.5774169282,3.9254331518,6.1299633407,0.0205393985,0.0380311232,0.0419884584,0.0690537473,0.0018371035,0.00214358,834270986,3716.608093977
12,0.1,15,500,300,40,0.1,0,8.0476147222,8.3551087017,8.9235258334,0.0409605399,0.0789986166,0.0904541592,0.0996883486,0.00523133,0.0053627195,14753039897,25232.3520071507
4,0.01,10,100,300,20,0,3.2040709077,3.7589565396,4.0883546732,6.2346138948,0.0370410525,0.0400937299,0.0440723623,0.0726584489,0.0008903975,0.0008743266,52843676,780.9499969482
12,0.25,25,750,100,1,0.1,0,8.8826701676,9.9637388627,11.0565430965,0.0422310224,0.0880957449,0.1069071317,0.1228994502,0.0080144205,0.008114256,23104280400,23121.1470448971
4,0.1,15,100,20,1,0.1,0.004605162,5.6345225145,6.4182092771,8.696271101,0.0257421859,0.0555992241,0.0675969763,0.096839082,0.0013493316,0.0015198418,77728530,94.8442466259
8,0.25,15,250,20,20,0.25,6.76618158349468E-05,8.1878392974,8.846335784,9.6991946398,0.0402414475,0.0899463919,0.0935452089,0.1090878697,0.0028189621,0.0028116871,1072574395,1964.7689118385
